Actual,Predicted
0.0013590846,0.0038318
0.0020489956,0.0045488253
0.0014327153,0.0030500628
0.030905996,0.031917423
0.0011310788,0.004943453
0.013480272,0.015670143
0.0011271534,0.0031270683
0.007953127,0.010182224
0.0354573,0.037623715
0.0011811462,0.004264321
0.2518877,0.25815374
0.6346921,0.6522754
0.11161998,0.11431206
0.026315423,0.026213564
0.009728096,0.011279121
0.13203214,0.13171975
0.1379068,0.14085731
0.28318334,0.2913623
0.047988113,0.050362036
0.00070869114,0.0037220158
0.024705384,0.02582872
0.3013257,0.31007427
0.3715175,0.38206303
0.025100036,0.02947843
0.002420585,0.005265273
0.0016906671,0.00462611
0.0014879396,0.0031552687
0.03805692,0.03973239
0.8521121,0.92827076
0.81197894,0.8615337
0.09106057,0.09356615
0.025989484,0.0316914
0.0011094784,0.0038602278
0.0014388507,0.0063127056
0.00082870584,0.0036877468
0.0056872917,0.009038296
0.0010891096,0.0033248588
0.0016082017,0.0045971237
0.33414695,0.34196454
0.3127197,0.33022994
0.0011443337,0.0033691674
0.017562307,0.019175045
0.13661484,0.14082454
0.001254777,0.0036065467
0.02436963,0.027628705
0.02724021,0.028108902
0.0019174468,0.004057821
0.0757063,0.07614073
0.13322002,0.14363301
0.20812608,0.21855102
0.14604339,0.14778978
0.098733775,0.097784266
0.038041215,0.0394829
0.8990074,0.93883616
0.0016415782,0.0046823137
0.33047724,0.36794144
0.0116660325,0.01698951
0.0030994508,0.0054676235
0.0008375405,0.0027505308
0.8948292,0.95825386
0.0022855944,0.0046733245
0.0045957305,0.008169793
0.28663313,0.2955985
0.0020156193,0.003731165
0.14898466,0.15098086
0.0015247521,0.0041810162
0.05173047,0.05316772
0.015172774,0.01506912
0.007931527,0.01135895
0.00079459255,0.0031602606
0.0023162717,0.0040618293
0.022347264,0.026424848
0.042380467,0.043475218
0.23613684,0.24612384
0.0016720134,0.0033107065
0.0011566047,0.00325042
0.0010860417,0.0032913722
0.06778766,0.06992803
0.7825113,0.87247026
0.0011443337,0.0030545667
0.0025486974,0.005682476
0.0014471962,0.003235096
0.013766938,0.0151579715
0.6538653,0.6845475
0.24233548,0.26806378
0.09502873,0.098807134
0.025253192,0.029971208
0.083285265,0.08309098
0.20484121,0.21400858
0.0031844892,0.006538935
0.19087707,0.19670127
0.0015922473,0.005998727
0.0023886762,0.0049794503
0.030207003,0.033020966
0.0011183186,0.003917262
0.0009239313,0.003752822
0.22477035,0.23232551
0.0017088259,0.0047189556
0.19744681,0.2037625
0.02439123,0.028754082
0.2859047,0.30041212
0.47215277,0.46981663
0.092625454,0.09354964
0.0016106535,0.007572435
0.0009970726,0.0028633345
0.23943545,0.24698414
0.08010838,0.08071211
0.0094571365,0.012360923
0.024412824,0.027468018
0.9471122,0.9971816
0.016743543,0.018399358
0.0013735656,0.0035659503
0.032989226,0.034842752
0.023908218,0.028073758
0.0012455739,0.00435644
0.35593155,0.36673993
0.10716292,0.10976152
0.0011504693,0.0028402563
